"1.1.1";"""КВП


2""";"-";"Медный кросс";"ТП 110 кВ ""Усть-Лабинская"",


Щитовая, шкаф передачи данных";"-";"-";"-";"-";"Кабельный бокс";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая";"-";"-";"-";"3";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"23"
"1.1.2";"Кабель для СМА-4-4, 2 м*";"-";"Мультиплексор


СМК-30-3


(основной)";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"-";"Медный кросс";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"4"
"1.1.3";"Кабель для СМА-2-4, 2 м*";"-";"Мультиплексор


СМК-30-3


(основной)";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"-";"Медный кросс";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"4"
"1.1.4";"Кабель потока Е1, 2 м*";"-";"Мультиплексор


СМК-30-3


(основной)";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"-";"Медный кросс";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"8"
"1.1.5";"Кабель для  СМПП, 2 м*";"-";"Мультиплексор


СМК-30-3


(основной)";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"-";"Патч-панель";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"4"
"1.1.6";"Кабель потока Е1, 2 м*";"-";"Мультиплексор


СМК-30-3


(резервный)";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"-";"Медный кросс";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"8"
"1.1.7";"Кабель линий SHDSL СМЛТ-2, 2 м*";"-";"Мультиплексор


СМК-30-3


(резервный)";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"-";"Модуль защиты МЗ-SHDSL-2";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"4"
"1.1.8";"Кабель для  СМПП, 2 м*";"-";"Мультиплексор


СМК-30-3


(резервный)";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"-";"Патч-панель";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"4"
"1.1.9";"КВПЭфнг(А)-


LS-5e 4x2x0,52";"-";"ИБП";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф электропитания оборудования передачи данных";"-";"-";"-";"-";"Модуль защиты РГ4-12LSA


(основной)";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"6";"-";"3";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"11"
"1.1.10";"КВПнг(А)-LS-


5e 1x2x0,52";"-";"Медный кросс";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"-";"Медный кросс";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1"
"1.1.11";"КВПнг(А)-LS-


5e 2x2x0,52";"-";"Модуль защиты МЗ-SHDSL-2";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"-";"Медный кросс";"ТП 110 кВ ""Усть-Лабинская"", 


Щитовая, шкаф передачи данных";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"12"
